"miRNA_ID","read_count_TCGA-2G-AAG5-01A-11R-A439-13","read_count_TCGA-2G-AAG6-01A-11R-A439-13","read_count_TCGA-2G-AAGY-05A-11R-A439-13","read_count_TCGA-2G-AAGY-01A-11R-A439-13","read_count_TCGA-2G-AAGV-01A-11R-A439-13","read_count_TCGA-2G-AAGX-01A-11R-A439-13","read_count_TCGA-2G-AAFE-01A-11R-A439-13","read_count_TCGA-2G-AAGA-01A-11R-A439-13","read_count_TCGA-ZM-AA05-01A-12R-A43A-13","read_count_TCGA-2G-AAKD-01A-31R-A439-13","read_count_TCGA-X3-A8G4-01A-11R-A43A-13","read_count_TCGA-2G-AAG7-01A-11R-A439-13","read_count_TCGA-XE-A8H1-01A-11R-A43A-13","read_count_TCGA-2G-AAF1-01A-11R-A439-13","read_count_TCGA-2G-AAFL-01A-21R-A439-13","read_count_TCGA-2G-AAHC-01A-11R-A439-13","read_count_TCGA-ZM-AA0B-01A-11R-A43A-13","read_count_TCGA-XE-A9SE-01A-21R-A43A-13","read_count_TCGA-ZM-AA0E-01A-12R-A43A-13","read_count_TCGA-2G-AAGM-01A-11R-A439-13","read_count_TCGA-XE-AAO3-01A-11R-A43A-13","read_count_TCGA-YU-A94D-01A-11R-A43A-13","read_count_TCGA-XE-AAOC-01A-11R-A43A-13","read_count_TCGA-2G-AAFN-01A-31R-A439-13","read_count_TCGA-XY-A89B-01A-11R-A43A-13","read_count_TCGA-ZM-AA0F-01A-21R-A43A-13","read_count_TCGA-2G-AAL7-01A-11R-A439-13","read_count_TCGA-2G-AAGZ-01A-11R-A439-13","read_count_TCGA-SN-A84Y-01A-11R-A43A-13","read_count_TCGA-SN-A84W-01A-11R-A43A-13","read_count_TCGA-XE-AANJ-01A-11R-A43A-13","read_count_TCGA-2G-AAHP-01A-12R-A439-13","read_count_TCGA-2G-AAHP-05A-11R-A439-13","read_count_TCGA-2G-AAKL-01A-11R-A439-13","read_count_TCGA-2G-AAGI-05A-11R-A439-13","read_count_TCGA-2G-AAGI-01A-11R-A439-13","read_count_TCGA-XE-AAO4-01A-11R-A43A-13","read_count_TCGA-YU-A94I-01A-11R-A43A-13","read_count_TCGA-XE-A8H5-01A-11R-A43A-13","read_count_TCGA-2G-AAF4-01A-11R-A439-13","read_count_TCGA-2G-AAFJ-01A-11R-A439-13","read_count_TCGA-S6-A8JW-01A-11R-A439-13","read_count_TCGA-ZM-AA06-01A-12R-A43A-13","read_count_TCGA-XE-AANV-01A-11R-A43A-13","read_count_TCGA-2G-AAFH-01A-12R-A439-13","read_count_TCGA-SB-A6J6-01A-11R-A43A-13","read_count_TCGA-VF-A8A9-01A-11R-A43A-13","read_count_TCGA-XE-AAOD-01A-11R-A43A-13","read_count_TCGA-2G-AAEW-01A-11R-A439-13","read_count_TCGA-2G-AAF6-01A-11R-A439-13","read_count_TCGA-XY-A8S3-01B-11R-A43A-13","read_count_TCGA-2X-A9D5-01A-11R-A439-13","read_count_TCGA-VF-A8A8-01A-11R-A43A-13","read_count_TCGA-YU-AA61-01A-11R-A43A-13","read_count_TCGA-2G-AAFV-01A-11R-A439-13","read_count_TCGA-2X-A9D6-01A-11R-A439-13","read_count_TCGA-2G-AAFY-01A-11R-A439-13","read_count_TCGA-2G-AAGC-01A-21R-A439-13","read_count_TCGA-S6-A8JY-01A-11R-A43A-13","read_count_TCGA-XE-AAOF-01A-11R-A43A-13","read_count_TCGA-W4-A7U2-01A-11R-A43A-13","read_count_TCGA-2G-AAG0-01A-11R-A439-13","read_count_TCGA-2G-AAEX-01A-11R-A439-13","read_count_TCGA-2G-AAH2-01A-11R-A439-13","read_count_TCGA-YU-AA4L-01A-11R-A43A-13","read_count_TCGA-4K-AA1H-01A-11R-A439-13","read_count_TCGA-2G-AAGT-01A-11R-A439-13","read_count_TCGA-XY-A8S2-01A-11R-A43A-13","read_count_TCGA-YU-A90S-01A-11R-A43A-13","read_count_TCGA-2G-AAG9-01A-11R-A439-13","read_count_TCGA-2G-AAGW-01A-11R-A439-13","read_count_TCGA-2G-AAL5-01A-11R-A439-13","read_count_TCGA-2G-AAKG-05A-11R-A439-13","read_count_TCGA-2G-AAKG-01A-11R-A439-13","read_count_TCGA-ZM-AA0D-01A-11R-A43A-13","read_count_TCGA-W4-A7U3-01A-12R-A43A-13","read_count_TCGA-YU-A90W-01A-11R-A43A-13","read_count_TCGA-2G-AAGJ-01A-11R-A439-13","read_count_TCGA-VF-A8AC-01A-11R-A43A-13","read_count_TCGA-SN-A84X-01A-11R-A43A-13","read_count_TCGA-4K-AAAL-01A-11R-A439-13","read_count_TCGA-XE-AAO6-01A-31R-A43A-13","read_count_TCGA-2G-AAGE-01A-21R-A439-13","read_count_TCGA-2G-AAFG-05A-11R-A439-13","read_count_TCGA-2G-AAFG-01A-11R-A439-13","read_count_TCGA-2G-AAGO-01A-11R-A439-13","read_count_TCGA-2G-AAFO-01A-31R-A439-13","read_count_TCGA-2G-AAH8-01A-11R-A439-13","read_count_TCGA-SB-A76C-01A-11R-A43A-13","read_count_TCGA-2G-AAFI-01A-21R-A439-13","read_count_TCGA-SN-A6IS-01A-11R-A43A-13","read_count_TCGA-XE-AAOB-01A-11R-A43A-13","read_count_TCGA-YU-A90Y-01A-11R-A43A-13","read_count_TCGA-WZ-A8D5-01A-11R-A43A-13","read_count_TCGA-2G-AAGF-01A-31R-A439-13","read_count_TCGA-XE-A8H4-01A-31R-A43A-13","read_count_TCGA-2G-AAHT-01A-11R-A439-13","read_count_TCGA-YU-A90Q-01A-11R-A43A-13","read_count_TCGA-ZM-AA0H-01A-11R-A43A-13","read_count_TCGA-YU-A90P-01A-11R-A43A-13","read_count_TCGA-XY-A9T9-01A-11R-A43A-13","read_count_TCGA-2G-AAFM-01A-11R-A439-13","read_count_TCGA-2G-AAGK-01A-11R-A439-13","read_count_TCGA-WZ-A7V4-01A-11R-A43A-13","read_count_TCGA-2G-AAGS-01A-11R-A439-13","read_count_TCGA-2G-AAKM-01A-11R-A439-13","read_count_TCGA-XE-AAOL-01A-11R-A43A-13","read_count_TCGA-YU-A912-01A-11R-A43A-13","read_count_TCGA-2G-AAGN-01A-11R-A439-13","read_count_TCGA-2G-AAG3-01A-11R-A439-13","read_count_TCGA-2G-AAF8-01A-11R-A439-13","read_count_TCGA-VF-A8AA-01A-11R-A43A-13","read_count_TCGA-2G-AAHL-01A-11R-A439-13","read_count_TCGA-2G-AAGG-01A-11R-A439-13","read_count_TCGA-W4-A7U4-01A-12R-A43A-13","read_count_TCGA-VF-A8AD-01A-11R-A43A-13","read_count_TCGA-XE-AANI-01A-11R-A43A-13","read_count_TCGA-2G-AALP-01A-12R-A439-13","read_count_TCGA-2G-AAKH-01A-11R-A439-13","read_count_TCGA-WZ-A7V5-01A-11R-A43A-13","read_count_TCGA-2G-AAHN-01A-11R-A439-13","read_count_TCGA-2G-AAG8-01A-31R-A439-13","read_count_TCGA-VF-A8AE-01A-11R-A43A-13","read_count_TCGA-2G-AAHA-01A-11R-A439-13","read_count_TCGA-2G-AAH0-01A-11R-A439-13","read_count_TCGA-2G-AAH4-01A-12R-A439-13","read_count_TCGA-4K-AA1G-01A-11R-A439-13","read_count_TCGA-VF-A8AB-01A-31R-A43A-13","read_count_TCGA-ZM-AA0N-01A-21R-A43A-13","read_count_TCGA-WZ-A7V3-01A-11R-A43A-13","read_count_TCGA-2G-AAH3-01A-11R-A439-13","read_count_TCGA-4K-AA1I-01A-11R-A439-13","read_count_TCGA-S6-A8JX-01A-11R-A439-13","read_count_TCGA-SO-A8JP-01A-11R-A43A-13","read_count_TCGA-2G-AAFZ-01A-11R-A439-13","read_count_TCGA-XE-AANR-01A-11R-A43A-13","read_count_TCGA-XE-AAOJ-01A-12R-A43A-13","read_count_TCGA-2G-AAHG-01A-11R-A439-13","read_count_TCGA-2G-AAGP-01A-11R-A439-13"
"hsa-let-7a-1",98880,199771,14494,39072,127522,151508,40018,36309,62307,14423,20372,15431,43886,50689,64579,35671,24045,14800,23593,48750,7889,73892,45164,7352,35774,93598,9933,117950,5122,82326,8715,12087,13889,33094,37122,38860,28907,19646,8226,19683,93916,20919,17768,30498,14998,24111,33112,45550,49357,19772,17827,21420,9193,115340,75875,31075,34486,26242,15179,36991,11151,22174,26434,50664,10072,74485,14067,23200,108578,27147,4484,49967,28953,18125,45901,39451,33114,19571,34134,83977,43712,7565,23320,40436,18330,25830,44768,7624,17343,9342,25777,33812,70942,13646,14806,42164,24995,31785,47018,39557,28089,22372,8395,20339,15886,21549,8065,21150,14866,82226,12265,33034,26581,64383,5054,22401,68876,10832,33044,12338,47204,46194,35509,18532,42637,26425,11761,40737,47139,7584,30863,21545,7863,19993,60411,35383,33557,10810,70818
"hsa-let-7a-2",98726,199757,14791,38979,126858,152317,39735,36097,61796,14231,20223,15586,43645,50494,63864,35533,24016,14713,23033,48468,7690,74043,45718,7404,35549,92796,9757,118168,5123,82833,8896,11861,13992,33132,37219,38712,29184,19742,8337,19813,95272,20982,17662,30451,14810,24105,32893,45675,49578,19931,17963,21178,9230,115767,75929,30910,34393,26308,14928,37451,11170,22672,26577,50956,10137,74293,13804,23099,109108,26824,4294,50475,29188,17991,45173,39496,33298,19481,34043,83898,43553,7486,23010,40016,18170,25609,44696,7551,17285,9107,25905,33927,70976,13434,14718,42361,24930,31270,46730,39300,27986,22151,8323,20124,15664,21726,7934,21412,14798,82362,12227,33055,26664,64054,5238,22203,68811,10699,32982,12361,46983,46181,35680,18680,42606,26654,11544,41038,47217,7509,30875,21129,8188,20023,60324,35142,33459,10725,70561
"hsa-let-7a-3",99331,202322,14662,39183,128460,152572,40299,36326,62537,14475,20420,15782,44098,50469,64609,35552,24108,15077,23350,48838,7893,74049,45892,7305,35635,94170,9878,117942,5098,83552,8780,12101,14109,33600,37604,38949,28931,19807,8317,19825,94190,21225,17621,30744,15199,24244,33352,45915,49987,19986,17779,21116,9297,116036,76490,31200,34696,26297,15103,37565,11169,22681,27021,51110,10500,74081,14148,22959,109708,27135,4296,50552,29486,18186,45602,39574,32921,19317,34537,83818,43824,7695,23449,40408,18549,25925,44774,7635,17224,9097,25895,34196,71265,13305,14996,42422,25359,31772,47508,39114,28190,22440,8358,20231,15947,21694,8003,21610,14845,82643,12441,33226,26890,64489,5254,22284,68906,10852,33322,12475,47453,46590,35733,18513,43025,27101,11629,41091,47374,7638,30853,21440,8142,20107,60271,35164,33762,10830,71303
"hsa-let-7b",144954,257771,15110,41688,108708,185933,41846,44154,49137,30478,18761,15663,49978,62219,77716,39675,25758,19741,31309,34139,12841,64644,77361,6093,26445,86699,13973,191850,4073,64310,7928,22453,19306,30184,48117,30562,49883,18038,10209,26815,106822,28665,23188,39262,19175,22162,38182,78344,58262,14976,12797,24130,5307,67926,104293,44231,53665,23211,12282,41552,13145,37709,47491,39379,3627,109143,15246,14966,87772,23829,4289,33243,54105,18395,50103,28996,40267,18197,62232,97446,73574,8719,23753,45512,17307,29806,77186,9094,19204,8891,34334,39465,44580,20623,14720,40281,22526,40824,43671,31258,33554,34365,9465,29193,19974,25766,9696,24812,20754,152309,20945,48616,33761,56002,6884,26217,58055,8865,36143,12857,58424,51663,54335,23066,53139,14040,11431,32047,48412,7979,38504,24463,17472,30699,57144,77662,34885,15229,95517
"hsa-let-7c",107229,326967,2614,59663,479042,366449,6560,17224,5367,2779,11825,19955,10812,6755,19718,8220,9482,1140,2070,25534,844,89775,173700,1391,3646,10532,1453,75516,1120,335936,1033,2680,1758,3180,15054,78270,10938,2582,527,4135,161272,2771,1146,6038,1983,2239,10399,22975,5573,2393,14664,1981,6496,165717,39500,6081,4113,38322,1685,4158,1517,4027,6938,136062,182,38138,4340,24917,10050,2621,143,73857,4220,3688,5355,38224,7496,1830,18826,132291,25386,607,39802,10479,1939,5824,22044,566,2536,767,7255,52588,28118,3596,24613,6730,1904,6729,3643,6422,2541,7374,964,9374,13369,14228,1292,1881,1615,152934,2837,8407,7407,87183,538,3735,194998,5281,6416,2567,4945,16204,4707,1074,6844,30366,772,2251,6414,283,6766,4421,3387,4990,63271,29257,62214,3600,52257
"hsa-let-7d",8058,11806,534,2772,3419,8887,1881,1117,4915,673,1365,2263,1831,1832,2480,1964,1540,1074,2490,2153,470,6636,4642,443,1936,5537,486,4435,351,7733,767,438,593,1150,1502,3058,1426,995,484,795,10164,1067,891,1508,643,1294,1707,2406,2116,784,1430,1013,748,10460,2932,1254,1746,2066,810,1745,626,1096,833,3295,406,3193,941,1704,5128,1548,259,2524,1344,1033,2788,5853,834,647,2043,3311,1312,886,1750,1694,831,895,1636,478,713,405,1197,5056,3619,1350,1454,2111,1619,920,4308,1797,1151,1073,451,1503,1265,1927,582,1158,741,4744,674,2120,1421,4887,438,1380,8673,534,1261,647,2961,1934,1837,1219,2160,1915,603,4471,2269,621,1345,1168,388,942,5426,1547,4240,442,4034
"hsa-let-7e",24843,49164,1421,12464,46192,38088,4668,4238,4492,1289,8457,3879,5500,3418,7800,2709,2297,1429,1734,26551,1213,48989,15017,976,1868,6160,992,9584,798,32016,740,1468,925,3378,3648,14204,2280,3433,738,1260,31205,1592,1539,2757,858,1877,3142,4089,4474,1154,4490,2261,2239,33114,9969,2990,3101,10727,1257,2759,744,1656,2035,24305,1816,5408,1913,4552,6203,2011,255,37725,3252,2840,3203,10856,3816,2025,2663,14404,4192,542,5637,3567,1303,3594,4597,729,2147,1273,3383,10544,16617,1126,3987,2358,2468,4685,2650,4789,2684,2177,717,1450,3913,3307,2348,1433,1566,16027,1118,2923,3591,16213,461,1428,24046,2061,3690,914,3330,4963,2478,1089,3803,11893,1077,2155,3661,685,4498,1344,1348,3099,17451,5348,14165,1045,14968
"hsa-let-7f-1",42316,96002,6432,18145,41247,52015,23742,13020,45686,4925,9992,8688,17965,28165,29595,19643,13129,7217,12895,23002,3409,40997,24512,4133,22664,56732,4597,42143,3207,30377,5007,4466,5468,19751,15336,16289,10409,10228,4445,9051,31814,8322,8706,12848,6615,11889,14049,18031,27489,12399,10640,10842,5374,72848,30811,12779,14404,8077,8139,20095,5300,8943,8924,15259,4886,31971,8107,12207,69920,14282,1710,23841,10715,9046,25031,18981,12993,11554,12384,24450,15621,4056,10944,22795,11002,12843,15659,3964,7118,5790,10109,19375,36214,6702,5747,22073,13927,11445,31275,25392,12911,9627,4287,8928,6345,12918,4034,12753,7076,29053,5277,14210,13065,35161,2728,9702,35325,5766,16695,6325,22530,19381,15106,10038,19329,11111,5756,27573,20941,4329,14300,10195,2169,6220,34519,10801,18599,3678,30761
"hsa-let-7f-2",43012,96963,6604,18366,42199,52582,24305,12967,46241,4997,10151,8642,18303,28309,30000,19487,13210,7497,13136,23627,3611,41801,25027,4183,23057,58063,4503,42668,3242,30822,5153,4463,5503,19550,15385,16864,10323,10624,4452,8951,32841,8413,8864,13132,6616,11856,14261,18237,27553,12562,10769,10792,5547,74183,31162,13231,14234,8114,8240,19872,5386,9066,8961,15296,4917,32037,8332,12856,70923,14400,1739,24055,10823,9229,24925,19293,13286,11876,12461,24737,15590,4186,11098,23056,11261,12816,15981,3925,7250,5692,10299,19983,37123,6805,6013,22420,13713,11485,31520,26214,13175,9765,4322,9363,6453,13347,4058,13059,6970,29206,5175,14461,13446,35968,2710,10044,35741,5840,16651,6406,22543,19889,15102,9916,19085,11434,5722,28573,21031,4569,14575,10168,2014,6357,35167,10799,18708,3717,31373
"hsa-let-7g",6012,10439,1091,3471,5053,8657,4567,1667,9454,985,3037,1064,3138,5734,3923,3794,3956,2262,5489,2606,842,6366,8717,994,4327,12764,1296,8792,642,7757,1484,709,2029,2372,3812,3750,3751,1045,1191,2069,7661,2110,2352,3113,1458,2937,3621,7026,5196,2129,2520,1981,1525,9142,4097,2355,2595,2528,1893,4377,1988,2288,1558,2705,661,6923,1334,2884,13729,2041,394,2811,2848,2024,9872,6373,1833,1333,5743,5283,1914,2049,1708,4807,2052,1854,2742,693,2008,796,1855,7917,5755,3015,1333,5417,2995,1398,8437,5303,2948,2477,1032,3983,1168,1547,979,2144,1354,2951,1342,5934,2386,7269,974,2868,10358,1241,2367,2185,5596,3036,5851,1666,4336,2039,956,8374,5375,1303,1800,2948,329,1250,5582,2053,5077,692,4967
