;seminoma vs non-seminoma Fold Change;seminoma vs non-seminoma pval;seminoma vs non-seminoma fdr;seminoma vs non-seminoma significant;embryonal vs seminoma Fold Change;embryonal vs seminoma pval;embryonal vs seminoma fdr;embryonal vs seminoma significant;embryonal vs non_embryonal_non_seminoma Fold Change;embryonal vs non_embryonal_non_seminoma pval;embryonal vs non_embryonal_non_seminoma fdr;embryonal vs non_embryonal_non_seminoma significant;teratoma vs non-teratoma Fold Change;teratoma vs non-teratoma pval;teratoma vs non-teratoma fdr;teratoma vs non-teratoma significant;KIT-mutated seminoma vs KIT-wildtype seminoma Fold Change;KIT-mutated seminoma vs KIT-wildtype seminoma pval;KIT-mutated seminoma vs KIT-wildtype seminoma fdr;KIT-mutated seminoma vs KIT-wildtype seminoma significant
hsa-let-7a-1, mature,MIMAT0000062;1.016323034318794;0.14799609538857258;0.1762111783223652;False;1.251201769712955;0.03147012367634864;0.05339313118122072;False;1.1799613051932272;0.3284655852417845;0.3865615390940729;False;1.2364114744874592;0.3407220782475632;0.4132946508706904;False;1.0263320421286823;0.4765945529885822;0.6288053788121608;False
hsa-let-7a-1, mature,MIMAT0004481;;;;;;;;;;;;;;;;;;;;
hsa-let-7a-2, mature,MIMAT0010195;;;;;;;;;;;;;;;;;;;;
hsa-let-7b, mature,MIMAT0000063;-1.1953220848318717;0.8695661251249783;0.8802030196219199;False;1.2357428331945461;0.12174064083643762;0.1663605137221908;False;1.540435463146779;0.11344213710766606;0.14981289862310096;False;1.0020202905208975;0.6675359861071328;0.7120383851809416;False;-1.0457328779857125;0.8612325258653544;0.9157409135783515;False
hsa-let-7b, mature,MIMAT0004482;;;;;;;;;;;;;;;;;;;;
hsa-let-7c, mature,MIMAT0000064;3.984519879725887;5.1451004691590855e-06;1.1909288498543057e-05;True;1.7940800729141921;0.04275985000890578;0.06796565632994497;False;-5.412728799760555;0.005502174479392429;0.011898452311686127;True;12.582268481347194;0.029872311434012096;0.07169354744162902;False;1.0093776844094418;0.9893048010526879;0.9893048010526879;False
hsa-let-7c, mature,MIMAT0026472;5.763057829649701;9.339798899018588e-05;0.00016710667219325148;True;;;;;-8.865710873557033;0.009588754202911163;0.018812381906910106;True;19.150723676986704;0.09176937100943659;0.1549472796943251;False;;;;
hsa-let-7d, mature,MIMAT0000065;1.1162505332943948;0.08509631970463759;0.10589053316629715;False;1.0668502322331548;0.7170013523507787;0.7453496995837847;False;-1.157047455311523;0.32756180966203297;0.3865615390940729;False;1.4943153444986534;0.0863851409082757;0.14961550177928165;False;1.0850360601558429;0.16012701234090643;0.28022227159658625;False
hsa-let-7d, mature,MIMAT0004484;1.2267390620222216;0.0002643138242956001;0.0004463667134787941;True;1.1819616402036124;0.23597658151521178;0.2932713070682879;False;-1.3448795025427065;0.03748420363668527;0.057899707403094205;False;2.259403742155412;0.0516456951046833;0.10711699725415796;False;1.0229751636772022;0.5805561509363671;0.7219562080903947;False
hsa-let-7e, mature,MIMAT0000066;2.2133082862087368;1.2792146472352592e-08;8.38853011531781e-08;True;1.7463629236938845;0.0008757514321647585;0.00215021896352648;True;-2.331015723437505;0.0023401728505262377;0.006691733936215523;True;3.9088833953552693;0.010051311598608923;0.030983859606721082;True;1.0589505387808917;0.5345475946737108;0.674378316288776;False
hsa-let-7e, mature,MIMAT0004485;;;;;;;;;;;;;;;;;;;;
hsa-let-7f-1, mature,MIMAT0000067;1.10078955259596;0.39795004522046007;0.434724306824991;False;1.3115946902057796;0.04559009494341838;0.07208486216184477;False;1.22416031629458;0.06780497006536867;0.09498186090128569;False;1.091888599934102;0.5579510880788554;0.6166827815608402;False;1.0772864077706141;0.11768353352641446;0.22141291910589514;False
hsa-let-7f-1, mature,MIMAT0004486;;;;;;;;;;;;;;;;;;;;
hsa-let-7f-2, mature,MIMAT0004487;;;;;;;;;;;;;;;;;;;;
hsa-let-7g, mature,MIMAT0000414;-1.2121915338408698;0.010321923457103331;0.014295216168624279;True;-1.1545031511472372;0.17653289389152316;0.2268635487457021;False;1.1210244010641688;0.3480446926256521;0.40546620757062496;False;1.1641202562769717;0.5708454438926645;0.6268106834899845;False;1.0753035605686607;0.5957956503873731;0.7308585255093797;False
hsa-let-7g, mature,MIMAT0004584;;;;;;;;;;;;;;;;;;;;
