;samples;proportion embryonal;proportion non-embryonal non-seminoma;train_fold_length;comment
train fold 0;['TCGA-2G-AAFJ-01', 'TCGA-2G-AAFL-01', 'TCGA-2G-AAFM-01', 'TCGA-2G-AAFN-01', 'TCGA-2G-AAFO-01', 'TCGA-2G-AAFV-01', 'TCGA-2G-AAFY-01', 'TCGA-2G-AAG5-01', 'TCGA-2G-AAG8-01', 'TCGA-2G-AAGA-01', 'TCGA-2G-AAGC-01', 'TCGA-2G-AAGE-01', 'TCGA-2G-AAGJ-01', 'TCGA-2G-AAGN-01', 'TCGA-2G-AAGO-01', 'TCGA-2G-AAGT-01', 'TCGA-2G-AAGV-01', 'TCGA-2G-AAGW-01', 'TCGA-2G-AAGX-01', 'TCGA-2G-AAGY-01', 'TCGA-2G-AAGZ-01', 'TCGA-2G-AAH2-01', 'TCGA-2G-AAKL-01', 'TCGA-2G-AAL5-01', 'TCGA-2G-AAL7-01', 'TCGA-2G-AALP-01', 'TCGA-SN-A84W-01', 'TCGA-W4-A7U4-01', 'TCGA-XE-A8H1-01', 'TCGA-XE-AAOB-01', 'TCGA-XE-AAOC-01', 'TCGA-XE-AAOJ-01', 'TCGA-XY-A8S2-01', 'TCGA-YU-A90P-01', 'TCGA-YU-A94D-01', 'TCGA-YU-A94I-01', 'TCGA-YU-AA4L-01'];0.4864864864864865;0.5135135135135135;37;all training samples
train fold 1;['TCGA-2G-AAFL-01', 'TCGA-2G-AAFM-01', 'TCGA-2G-AAFN-01', 'TCGA-2G-AAFO-01', 'TCGA-2G-AAFV-01', 'TCGA-2G-AAFY-01', 'TCGA-2G-AAG5-01', 'TCGA-2G-AAG8-01', 'TCGA-2G-AAGA-01', 'TCGA-2G-AAGC-01', 'TCGA-2G-AAGE-01', 'TCGA-2G-AAGJ-01', 'TCGA-2G-AAGN-01', 'TCGA-2G-AAGO-01', 'TCGA-2G-AAGT-01', 'TCGA-2G-AAGV-01', 'TCGA-2G-AAGW-01', 'TCGA-2G-AAGX-01', 'TCGA-2G-AAGY-01', 'TCGA-2G-AAGZ-01', 'TCGA-2G-AAH2-01', 'TCGA-2G-AAKL-01', 'TCGA-2G-AAL5-01', 'TCGA-2G-AAL7-01', 'TCGA-2G-AALP-01', 'TCGA-SN-A84W-01', 'TCGA-W4-A7U4-01', 'TCGA-XE-A8H1-01', 'TCGA-XE-AAOB-01', 'TCGA-XE-AAOC-01', 'TCGA-XE-AAOJ-01', 'TCGA-XY-A8S2-01', 'TCGA-YU-A90P-01', 'TCGA-YU-A94D-01', 'TCGA-YU-A94I-01', 'TCGA-YU-AA4L-01'];0.5;0.5;36;loocv folds
train fold 2;['TCGA-2G-AAFJ-01', 'TCGA-2G-AAFM-01', 'TCGA-2G-AAFN-01', 'TCGA-2G-AAFO-01', 'TCGA-2G-AAFV-01', 'TCGA-2G-AAFY-01', 'TCGA-2G-AAG5-01', 'TCGA-2G-AAG8-01', 'TCGA-2G-AAGA-01', 'TCGA-2G-AAGC-01', 'TCGA-2G-AAGE-01', 'TCGA-2G-AAGJ-01', 'TCGA-2G-AAGN-01', 'TCGA-2G-AAGO-01', 'TCGA-2G-AAGT-01', 'TCGA-2G-AAGV-01', 'TCGA-2G-AAGW-01', 'TCGA-2G-AAGX-01', 'TCGA-2G-AAGY-01', 'TCGA-2G-AAGZ-01', 'TCGA-2G-AAH2-01', 'TCGA-2G-AAKL-01', 'TCGA-2G-AAL5-01', 'TCGA-2G-AAL7-01', 'TCGA-2G-AALP-01', 'TCGA-SN-A84W-01', 'TCGA-W4-A7U4-01', 'TCGA-XE-A8H1-01', 'TCGA-XE-AAOB-01', 'TCGA-XE-AAOC-01', 'TCGA-XE-AAOJ-01', 'TCGA-XY-A8S2-01', 'TCGA-YU-A90P-01', 'TCGA-YU-A94D-01', 'TCGA-YU-A94I-01', 'TCGA-YU-AA4L-01'];0.4722222222222222;0.5277777777777778;36;loocv folds
train fold 3;['TCGA-2G-AAFJ-01', 'TCGA-2G-AAFL-01', 'TCGA-2G-AAFN-01', 'TCGA-2G-AAFO-01', 'TCGA-2G-AAFV-01', 'TCGA-2G-AAFY-01', 'TCGA-2G-AAG5-01', 'TCGA-2G-AAG8-01', 'TCGA-2G-AAGA-01', 'TCGA-2G-AAGC-01', 'TCGA-2G-AAGE-01', 'TCGA-2G-AAGJ-01', 'TCGA-2G-AAGN-01', 'TCGA-2G-AAGO-01', 'TCGA-2G-AAGT-01', 'TCGA-2G-AAGV-01', 'TCGA-2G-AAGW-01', 'TCGA-2G-AAGX-01', 'TCGA-2G-AAGY-01', 'TCGA-2G-AAGZ-01', 'TCGA-2G-AAH2-01', 'TCGA-2G-AAKL-01', 'TCGA-2G-AAL5-01', 'TCGA-2G-AAL7-01', 'TCGA-2G-AALP-01', 'TCGA-SN-A84W-01', 'TCGA-W4-A7U4-01', 'TCGA-XE-A8H1-01', 'TCGA-XE-AAOB-01', 'TCGA-XE-AAOC-01', 'TCGA-XE-AAOJ-01', 'TCGA-XY-A8S2-01', 'TCGA-YU-A90P-01', 'TCGA-YU-A94D-01', 'TCGA-YU-A94I-01', 'TCGA-YU-AA4L-01'];0.4722222222222222;0.5277777777777778;36;loocv folds
train fold 4;['TCGA-2G-AAFJ-01', 'TCGA-2G-AAFL-01', 'TCGA-2G-AAFM-01', 'TCGA-2G-AAFO-01', 'TCGA-2G-AAFV-01', 'TCGA-2G-AAFY-01', 'TCGA-2G-AAG5-01', 'TCGA-2G-AAG8-01', 'TCGA-2G-AAGA-01', 'TCGA-2G-AAGC-01', 'TCGA-2G-AAGE-01', 'TCGA-2G-AAGJ-01', 'TCGA-2G-AAGN-01', 'TCGA-2G-AAGO-01', 'TCGA-2G-AAGT-01', 'TCGA-2G-AAGV-01', 'TCGA-2G-AAGW-01', 'TCGA-2G-AAGX-01', 'TCGA-2G-AAGY-01', 'TCGA-2G-AAGZ-01', 'TCGA-2G-AAH2-01', 'TCGA-2G-AAKL-01', 'TCGA-2G-AAL5-01', 'TCGA-2G-AAL7-01', 'TCGA-2G-AALP-01', 'TCGA-SN-A84W-01', 'TCGA-W4-A7U4-01', 'TCGA-XE-A8H1-01', 'TCGA-XE-AAOB-01', 'TCGA-XE-AAOC-01', 'TCGA-XE-AAOJ-01', 'TCGA-XY-A8S2-01', 'TCGA-YU-A90P-01', 'TCGA-YU-A94D-01', 'TCGA-YU-A94I-01', 'TCGA-YU-AA4L-01'];0.4722222222222222;0.5277777777777778;36;loocv folds
train fold 5;['TCGA-2G-AAFJ-01', 'TCGA-2G-AAFL-01', 'TCGA-2G-AAFM-01', 'TCGA-2G-AAFN-01', 'TCGA-2G-AAFV-01', 'TCGA-2G-AAFY-01', 'TCGA-2G-AAG5-01', 'TCGA-2G-AAG8-01', 'TCGA-2G-AAGA-01', 'TCGA-2G-AAGC-01', 'TCGA-2G-AAGE-01', 'TCGA-2G-AAGJ-01', 'TCGA-2G-AAGN-01', 'TCGA-2G-AAGO-01', 'TCGA-2G-AAGT-01', 'TCGA-2G-AAGV-01', 'TCGA-2G-AAGW-01', 'TCGA-2G-AAGX-01', 'TCGA-2G-AAGY-01', 'TCGA-2G-AAGZ-01', 'TCGA-2G-AAH2-01', 'TCGA-2G-AAKL-01', 'TCGA-2G-AAL5-01', 'TCGA-2G-AAL7-01', 'TCGA-2G-AALP-01', 'TCGA-SN-A84W-01', 'TCGA-W4-A7U4-01', 'TCGA-XE-A8H1-01', 'TCGA-XE-AAOB-01', 'TCGA-XE-AAOC-01', 'TCGA-XE-AAOJ-01', 'TCGA-XY-A8S2-01', 'TCGA-YU-A90P-01', 'TCGA-YU-A94D-01', 'TCGA-YU-A94I-01', 'TCGA-YU-AA4L-01'];0.4722222222222222;0.5277777777777778;36;loocv folds
train fold 6;['TCGA-2G-AAFJ-01', 'TCGA-2G-AAFL-01', 'TCGA-2G-AAFM-01', 'TCGA-2G-AAFN-01', 'TCGA-2G-AAFO-01', 'TCGA-2G-AAFY-01', 'TCGA-2G-AAG5-01', 'TCGA-2G-AAG8-01', 'TCGA-2G-AAGA-01', 'TCGA-2G-AAGC-01', 'TCGA-2G-AAGE-01', 'TCGA-2G-AAGJ-01', 'TCGA-2G-AAGN-01', 'TCGA-2G-AAGO-01', 'TCGA-2G-AAGT-01', 'TCGA-2G-AAGV-01', 'TCGA-2G-AAGW-01', 'TCGA-2G-AAGX-01', 'TCGA-2G-AAGY-01', 'TCGA-2G-AAGZ-01', 'TCGA-2G-AAH2-01', 'TCGA-2G-AAKL-01', 'TCGA-2G-AAL5-01', 'TCGA-2G-AAL7-01', 'TCGA-2G-AALP-01', 'TCGA-SN-A84W-01', 'TCGA-W4-A7U4-01', 'TCGA-XE-A8H1-01', 'TCGA-XE-AAOB-01', 'TCGA-XE-AAOC-01', 'TCGA-XE-AAOJ-01', 'TCGA-XY-A8S2-01', 'TCGA-YU-A90P-01', 'TCGA-YU-A94D-01', 'TCGA-YU-A94I-01', 'TCGA-YU-AA4L-01'];0.5;0.5;36;loocv folds
train fold 7;['TCGA-2G-AAFJ-01', 'TCGA-2G-AAFL-01', 'TCGA-2G-AAFM-01', 'TCGA-2G-AAFN-01', 'TCGA-2G-AAFO-01', 'TCGA-2G-AAFV-01', 'TCGA-2G-AAG5-01', 'TCGA-2G-AAG8-01', 'TCGA-2G-AAGA-01', 'TCGA-2G-AAGC-01', 'TCGA-2G-AAGE-01', 'TCGA-2G-AAGJ-01', 'TCGA-2G-AAGN-01', 'TCGA-2G-AAGO-01', 'TCGA-2G-AAGT-01', 'TCGA-2G-AAGV-01', 'TCGA-2G-AAGW-01', 'TCGA-2G-AAGX-01', 'TCGA-2G-AAGY-01', 'TCGA-2G-AAGZ-01', 'TCGA-2G-AAH2-01', 'TCGA-2G-AAKL-01', 'TCGA-2G-AAL5-01', 'TCGA-2G-AAL7-01', 'TCGA-2G-AALP-01', 'TCGA-SN-A84W-01', 'TCGA-W4-A7U4-01', 'TCGA-XE-A8H1-01', 'TCGA-XE-AAOB-01', 'TCGA-XE-AAOC-01', 'TCGA-XE-AAOJ-01', 'TCGA-XY-A8S2-01', 'TCGA-YU-A90P-01', 'TCGA-YU-A94D-01', 'TCGA-YU-A94I-01', 'TCGA-YU-AA4L-01'];0.4722222222222222;0.5277777777777778;36;loocv folds
train fold 8;['TCGA-2G-AAFJ-01', 'TCGA-2G-AAFL-01', 'TCGA-2G-AAFM-01', 'TCGA-2G-AAFN-01', 'TCGA-2G-AAFO-01', 'TCGA-2G-AAFV-01', 'TCGA-2G-AAFY-01', 'TCGA-2G-AAG8-01', 'TCGA-2G-AAGA-01', 'TCGA-2G-AAGC-01', 'TCGA-2G-AAGE-01', 'TCGA-2G-AAGJ-01', 'TCGA-2G-AAGN-01', 'TCGA-2G-AAGO-01', 'TCGA-2G-AAGT-01', 'TCGA-2G-AAGV-01', 'TCGA-2G-AAGW-01', 'TCGA-2G-AAGX-01', 'TCGA-2G-AAGY-01', 'TCGA-2G-AAGZ-01', 'TCGA-2G-AAH2-01', 'TCGA-2G-AAKL-01', 'TCGA-2G-AAL5-01', 'TCGA-2G-AAL7-01', 'TCGA-2G-AALP-01', 'TCGA-SN-A84W-01', 'TCGA-W4-A7U4-01', 'TCGA-XE-A8H1-01', 'TCGA-XE-AAOB-01', 'TCGA-XE-AAOC-01', 'TCGA-XE-AAOJ-01', 'TCGA-XY-A8S2-01', 'TCGA-YU-A90P-01', 'TCGA-YU-A94D-01', 'TCGA-YU-A94I-01', 'TCGA-YU-AA4L-01'];0.5;0.5;36;loocv folds
train fold 9;['TCGA-2G-AAFJ-01', 'TCGA-2G-AAFL-01', 'TCGA-2G-AAFM-01', 'TCGA-2G-AAFN-01', 'TCGA-2G-AAFO-01', 'TCGA-2G-AAFV-01', 'TCGA-2G-AAFY-01', 'TCGA-2G-AAG5-01', 'TCGA-2G-AAGA-01', 'TCGA-2G-AAGC-01', 'TCGA-2G-AAGE-01', 'TCGA-2G-AAGJ-01', 'TCGA-2G-AAGN-01', 'TCGA-2G-AAGO-01', 'TCGA-2G-AAGT-01', 'TCGA-2G-AAGV-01', 'TCGA-2G-AAGW-01', 'TCGA-2G-AAGX-01', 'TCGA-2G-AAGY-01', 'TCGA-2G-AAGZ-01', 'TCGA-2G-AAH2-01', 'TCGA-2G-AAKL-01', 'TCGA-2G-AAL5-01', 'TCGA-2G-AAL7-01', 'TCGA-2G-AALP-01', 'TCGA-SN-A84W-01', 'TCGA-W4-A7U4-01', 'TCGA-XE-A8H1-01', 'TCGA-XE-AAOB-01', 'TCGA-XE-AAOC-01', 'TCGA-XE-AAOJ-01', 'TCGA-XY-A8S2-01', 'TCGA-YU-A90P-01', 'TCGA-YU-A94D-01', 'TCGA-YU-A94I-01', 'TCGA-YU-AA4L-01'];0.4722222222222222;0.5277777777777778;36;loocv folds
