,source,type,score,phase,gene_type,gene_name,level,hgnc_id,havana_gene
ENSG00000000003.15,HAVANA,gene,,,protein_coding,TSPAN6,2,HGNC:11858,OTTHUMG00000022002.2
ENSG00000000005.6,HAVANA,gene,,,protein_coding,TNMD,2,HGNC:17757,OTTHUMG00000022001.2
ENSG00000000457.14,HAVANA,gene,,,protein_coding,SCYL3,2,HGNC:19285,OTTHUMG00000035941.6
ENSG00000000460.17,HAVANA,gene,,,protein_coding,C1orf112,2,HGNC:25565,OTTHUMG00000035821.9
ENSG00000000938.13,HAVANA,gene,,,protein_coding,FGR,2,HGNC:3697,OTTHUMG00000003516.3
ENSG00000000971.16,HAVANA,gene,,,protein_coding,CFH,1,HGNC:4883,OTTHUMG00000035607.6
ENSG00000001036.14,HAVANA,gene,,,protein_coding,FUCA2,2,HGNC:4008,OTTHUMG00000015728.3
ENSG00000001084.13,HAVANA,gene,,,protein_coding,GCLC,1,HGNC:4311,OTTHUMG00000160220.13
ENSG00000001460.18,HAVANA,gene,,,protein_coding,STPG1,2,HGNC:28070,OTTHUMG00000003297.4
ENSG00000001461.17,HAVANA,gene,,,protein_coding,NIPAL3,2,HGNC:25233,OTTHUMG00000003299.4
ENSG00000001497.18,HAVANA,gene,,,protein_coding,LAS1L,2,HGNC:25726,OTTHUMG00000021720.2
ENSG00000001561.7,HAVANA,gene,,,protein_coding,ENPP4,2,HGNC:3359,OTTHUMG00000014779.3
ENSG00000001617.12,HAVANA,gene,,,protein_coding,SEMA3F,2,HGNC:10728,OTTHUMG00000156806.9
ENSG00000001629.10,HAVANA,gene,,,protein_coding,ANKIB1,2,HGNC:22215,OTTHUMG00000155859.3
ENSG00000002016.18,HAVANA,gene,,,protein_coding,RAD52,2,HGNC:9824,OTTHUMG00000090361.6
ENSG00000002330.14,HAVANA,gene,,,protein_coding,BAD,1,HGNC:936,OTTHUMG00000134302.4
ENSG00000002586.20,HAVANA,gene,,,protein_coding,CD99,2,HGNC:7082,OTTHUMG00000021073.12
ENSG00000002586.20_PAR_Y,HAVANA,gene,,,protein_coding,CD99,2,HGNC:7082,OTTHUMG00000021073.12
ENSG00000002587.10,HAVANA,gene,,,protein_coding,HS3ST1,2,HGNC:5194,OTTHUMG00000090547.7
ENSG00000002726.21,HAVANA,gene,,,protein_coding,AOC1,2,HGNC:80,OTTHUMG00000158306.2
ENSG00000002745.13,HAVANA,gene,,,protein_coding,WNT16,2,HGNC:16267,OTTHUMG00000156963.2
ENSG00000002746.15,HAVANA,gene,,,protein_coding,HECW1,1,HGNC:22195,OTTHUMG00000128917.6
ENSG00000002834.18,HAVANA,gene,,,protein_coding,LASP1,1,HGNC:6513,OTTHUMG00000133182.8
ENSG00000002919.15,HAVANA,gene,,,protein_coding,SNX11,2,HGNC:14975,OTTHUMG00000178822.2
ENSG00000002933.9,HAVANA,gene,,,protein_coding,TMEM176A,2,HGNC:24930,OTTHUMG00000158114.6
ENSG00000003056.8,HAVANA,gene,,,protein_coding,M6PR,1,HGNC:6752,OTTHUMG00000168276.4
ENSG00000003096.14,HAVANA,gene,,,protein_coding,KLHL13,2,HGNC:22931,OTTHUMG00000022252.4
ENSG00000003147.19,HAVANA,gene,,,protein_coding,ICA1,2,HGNC:5343,OTTHUMG00000152008.11
ENSG00000003249.15,HAVANA,gene,,,protein_coding,DBNDD1,2,HGNC:28455,OTTHUMG00000138984.4
ENSG00000003400.15,HAVANA,gene,,,protein_coding,CASP10,2,HGNC:1500,OTTHUMG00000132818.5
ENSG00000003436.16,HAVANA,gene,,,protein_coding,TFPI,2,HGNC:11760,OTTHUMG00000132634.8
ENSG00000003509.16,HAVANA,gene,,,protein_coding,NDUFAF7,1,HGNC:28816,OTTHUMG00000128468.7
ENSG00000003756.17,HAVANA,gene,,,protein_coding,RBM5,1,HGNC:9902,OTTHUMG00000156785.9
ENSG00000003987.14,HAVANA,gene,,,protein_coding,MTMR7,2,HGNC:7454,OTTHUMG00000163771.4
