"mirna_id","padj"
"hsa-mir-372, mature,MIMAT0000724",6.73092733951699e-23
"hsa-mir-371a, mature,MIMAT0000723",2.69207146938225e-22
"hsa-mir-373, mature,MIMAT0000726",6.25209902582717e-22
"hsa-mir-373, mature,MIMAT0000725",3.67569244794703e-19
"hsa-mir-372, mature,MIMAT0026484",2.54037042326454e-17
"hsa-mir-371a, mature,MIMAT0004687",8.46117261548081e-15
"hsa-mir-143, mature,MIMAT0000435",2.70089239133945e-14
"hsa-mir-96, mature,MIMAT0000095",1.84678700510826e-13
"hsa-mir-28, mature,MIMAT0000085",2.88860796800125e-13
"hsa-mir-143, mature,MIMAT0004599",8.90544152823806e-13
"hsa-mir-302d, mature,MIMAT0000718",1.44478467993034e-12
"hsa-mir-145, mature,MIMAT0000437",2.36610823538484e-12
"hsa-mir-302b, mature,MIMAT0000714",2.36610823538484e-12
"hsa-mir-106b, precursor",2.63304801139739e-12
"hsa-mir-92a-1, mature,MIMAT0004507",2.63304801139739e-12
"hsa-mir-520f, mature,MIMAT0002830",3.77701452142796e-12
"hsa-mir-28, mature,MIMAT0004502",1.34923252834502e-11
"hsa-mir-302b, mature,MIMAT0000715",1.34923252834502e-11
"hsa-mir-520g, mature,MIMAT0002858",4.40991462425178e-11
"hsa-mir-520a, mature,MIMAT0002833",5.033393567693e-11
"hsa-mir-19b-1, mature,MIMAT0004491",7.86915964708528e-11
"hsa-mir-520c, mature,MIMAT0002846",1.04657268584006e-10
"hsa-mir-520b, mature,MIMAT0002843",1.08934034964053e-10
"hsa-mir-515-1, mature,MIMAT0002827",1.18660949755088e-10
"hsa-mir-629, mature,MIMAT0003298",1.18660949755088e-10
"hsa-mir-519d, mature,MIMAT0002853",1.27044450021945e-10
"hsa-mir-182, mature,MIMAT0000259",1.28354790178537e-10
"hsa-mir-512-1, mature,MIMAT0002823",1.28354790178537e-10
"hsa-mir-769, precursor",1.47354229966223e-10
"hsa-mir-520h, mature,MIMAT0002867",1.6566315823544e-10
"hsa-mir-520e, mature,MIMAT0002825",2.51059993797281e-10
"hsa-mir-145, mature,MIMAT0004601",2.66234733933843e-10
"hsa-mir-518c, mature,MIMAT0002847",2.66234733933843e-10
"hsa-mir-517a, mature,MIMAT0002852",2.7377722705304e-10
"hsa-mir-517b, mature,MIMAT0002857",2.7377722705304e-10
"hsa-mir-512-2, mature,MIMAT0002823",2.85622446508354e-10
"hsa-mir-302a, mature,MIMAT0000684",3.53508487482639e-10
"hsa-mir-523, mature,MIMAT0002840",4.14504598998834e-10
"hsa-mir-518f, mature,MIMAT0002841",4.23007742374421e-10
"hsa-mir-520b, unannotated",4.77736863113915e-10
"hsa-mir-519c, mature,MIMAT0002832",5.44972977669552e-10
"hsa-mir-515-1, mature,MIMAT0002826",6.41900121561945e-10
"hsa-mir-526b, mature,MIMAT0002835",7.71885405339455e-10
"hsa-mir-524, mature,MIMAT0002849",8.15570990474917e-10
"hsa-mir-18a, mature,MIMAT0002891",8.62558084426415e-10
"hsa-mir-518f, mature,MIMAT0002842",8.88596282539877e-10
"hsa-mir-25, mature,MIMAT0004498",1.48302719549753e-09
"hsa-mir-519b, mature,MIMAT0002837",1.62064756747749e-09
"hsa-mir-512-1, mature,MIMAT0002822",1.70615921145619e-09
"hsa-mir-520a, mature,MIMAT0002834",1.70615921145619e-09
"hsa-mir-518a-1, precursor",2.30178294295232e-09
"hsa-mir-527, precursor",2.30178294295232e-09
"hsa-mir-525, precursor",2.30915642297501e-09
"hsa-mir-518b, unannotated",2.32655508176117e-09
"hsa-mir-512-2, mature,MIMAT0002822",2.6684110440798e-09
"hsa-mir-20a, mature,MIMAT0000075",2.8084066742588e-09
"hsa-mir-23b, mature,MIMAT0000418",2.8194845485679e-09
"hsa-mir-7-1, precursor",2.84057920128352e-09
"hsa-mir-515-2, mature,MIMAT0002826",3.36230213642072e-09
"hsa-mir-519a-2, unannotated",3.75227218213113e-09
"hsa-mir-942, mature,MIMAT0004985",4.15872940820355e-09
"hsa-mir-518c, mature,MIMAT0002848",5.22865235065829e-09
"hsa-mir-519e, mature,MIMAT0002829",5.93009602480924e-09
"hsa-mir-517a, mature,MIMAT0002851",6.12905453096808e-09
"hsa-mir-517b, mature,MIMAT0002851",6.12905453096808e-09
"hsa-mir-517c, mature,MIMAT0002851",6.12905453096808e-09
"hsa-mir-518b, mature,MIMAT0002844",7.21458563025609e-09
"hsa-mir-515-2, mature,MIMAT0002827",7.68723450744967e-09
"hsa-mir-1323, mature,MIMAT0005795",8.32623102908001e-09
"hsa-mir-520f, precursor",8.72959087064788e-09
"hsa-mir-520g, mature,MIMAT0026611",8.72959087064788e-09
"hsa-mir-520h, unannotated",8.72959087064788e-09
"hsa-mir-103a-2, precursor",8.82341283549949e-09
"hsa-mir-367, mature,MIMAT0000719",8.82341283549949e-09
"hsa-mir-302d, mature,MIMAT0004685",9.12902426552774e-09
"hsa-mir-518e, mature,MIMAT0002861",1.00407965453867e-08
"hsa-mir-518a-2, mature,MIMAT0005457",1.11407611600087e-08
"hsa-mir-527, mature,MIMAT0002862",1.1660471970391e-08
"hsa-mir-525, mature,MIMAT0002838",1.20228815647621e-08
"hsa-mir-302a, mature,MIMAT0000683",1.29370372583114e-08
"hsa-mir-373, stemloop",1.29370372583114e-08
"hsa-mir-520c, precursor",1.35087712077067e-08
"hsa-mir-524, mature,MIMAT0002850",1.55568073780162e-08
"hsa-mir-518a-1, mature,MIMAT0002863",1.61895087289102e-08
"hsa-mir-519c, precursor",1.64069948236031e-08
"hsa-mir-182, mature,MIMAT0000260",1.6785129212196e-08
"hsa-mir-498, mature,MIMAT0002824",2.78374729745339e-08
"hsa-mir-516a-1, precursor",4.0174340538359e-08
"hsa-mir-518e, precursor",4.06173598821839e-08
"hsa-mir-27b, mature,MIMAT0000419",6.51226271981345e-08
"hsa-mir-518a-2, mature,MIMAT0002863",6.51226271981345e-08
"hsa-mir-519a-1, mature,MIMAT0005452",6.51226271981345e-08
"hsa-mir-7702, mature,MIMAT0030017",6.51226271981345e-08
"hsa-mir-92a-2, mature,MIMAT0000092",6.90894785536902e-08
"hsa-mir-96, mature,MIMAT0004510",9.01714305107015e-08
"hsa-mir-526b, mature,MIMAT0002836",9.12238444454859e-08
"hsa-mir-4661, mature,MIMAT0019729",9.16722374079096e-08
"hsa-mir-518a-2, precursor",9.50749378192277e-08
"hsa-mir-942, mature,MIMAT0026734",1.11969990903748e-07
"hsa-mir-525, mature,MIMAT0002839",1.32836264172084e-07
"hsa-mir-519a-2, mature,MIMAT0002869",1.42881360069598e-07
"hsa-mir-522, precursor",1.66936401837798e-07
"hsa-mir-520a, precursor",1.68817039190366e-07
"hsa-mir-520d, mature,MIMAT0002856",1.68817039190366e-07
"hsa-mir-519a-1, mature,MIMAT0002869",2.49765947417485e-07
"hsa-mir-183, mature,MIMAT0004560",2.58171820730206e-07
"hsa-mir-519d, mature,MIMAT0026610",2.58171820730206e-07
"hsa-mir-7-1, mature,MIMAT0004553",2.58171820730206e-07
"hsa-mir-92a-1, mature,MIMAT0000092",2.58210612680284e-07
"hsa-mir-625, mature,MIMAT0004808",3.21956427597838e-07
"hsa-mir-584, mature,MIMAT0022708",3.41755213050284e-07
"hsa-mir-498, unannotated",3.43544608774915e-07
"hsa-mir-516b-1, mature,MIMAT0002859",3.43608835769972e-07
"hsa-mir-371a, precursor",3.82938876178392e-07
"hsa-mir-128-1, precursor",4.08594284898223e-07
"hsa-mir-521-1, unannotated",4.20568113224741e-07
"hsa-mir-548f-1, mature,MIMAT0005895",4.20568113224741e-07
"hsa-mir-1-2, mature,MIMAT0000416",4.21112531763035e-07
"hsa-mir-516a-2, precursor",4.21112531763035e-07
"hsa-mir-516b-2, mature,MIMAT0002859",4.68342827608578e-07
"hsa-mir-19a, mature,MIMAT0000073",4.83701579932884e-07
"hsa-mir-519e, mature,MIMAT0002828",5.13622508703309e-07
"hsa-mir-183, mature,MIMAT0000261",5.67627653126786e-07
"hsa-mir-520d, mature,MIMAT0002855",6.03158960740282e-07
"hsa-mir-517c, mature,MIMAT0002866",6.38528968092393e-07
"hsa-mir-516a-1, mature,MIMAT0004770",6.56810724430255e-07
"hsa-mir-518a-1, mature,MIMAT0005457",7.25564181280104e-07
"hsa-mir-135b, mature,MIMAT0004698",7.6464676197883e-07
"hsa-mir-3662, mature,MIMAT0018083",7.95669085596e-07
"hsa-mir-1-1, mature,MIMAT0000416",8.25256447418086e-07
"hsa-mir-522, mature,MIMAT0002868",9.14016104912741e-07
"hsa-mir-105-2, mature,MIMAT0004516",9.14016104912741e-07
"hsa-mir-516a-2, mature,MIMAT0004770",9.45021742260061e-07
"hsa-mir-519a-1, precursor",9.78362909795907e-07
"hsa-mir-302c, mature,MIMAT0000717",1.04431915629549e-06
"hsa-mir-32, precursor",1.24308720067655e-06
"hsa-mir-7974, mature,MIMAT0031177",1.24308720067655e-06
